품목ID,품목명,구분,유통기한_일,보관조건,발주방식,발주주기_T(일),리드타임_LT(일),예측horizon_T+LT(일),안전재고_z방향,발주단위(MOQ),비고
P01,치킨 토마토 치즈 샌드위치,완제품,1,냉장,정기(매일),1,1,2.0,낮춤(보수),개,일배송. Copilot 핵심 타깃
P02,단호박 에그 샌드위치,완제품,1,냉장,정기(매일),1,1,2.0,낮춤(보수),개,일배송
P03,트리플 치즈 크로크무슈,완제품,2,냉장,정기(매일),1,1,2.0,낮춤(보수),개,가열판매(따뜻한 푸드)
P04,크루아상,완제품,1,상온,정기(매일),1,1,2.0,낮춤(보수),개,베이커리 일배송
P05,소금빵,완제품,1,상온,정기(매일),1,1,2.0,낮춤(보수),개,베이커리 일배송
P06,플레인 스콘,완제품,2,상온,정기(매일),1,1,2.0,낮춤(보수),개,유통 2일이나 매일 발주로 폐기 최소화
P07,플레인 베이글,완제품,2,상온,정기(매일),1,1,2.0,낮춤(보수),개,유통 2일
P08,뉴욕 치즈 케이크,완제품,3,냉장,정기(격일),2,1,3.0,중,개,"냉장 쇼케이스, 유통 3일"
P09,마스카포네 티라미수 케이크,완제품,2,냉장,정기(매일),1,1,2.0,낮춤(보수),개,"크림케이크, 단명"
R01,우유,원재료,5,냉장,정기(주3~4회),2,1,3.0,중,1L팩,고소비. 개봉후 단명
R02,에스프레소 원두,원재료,30,상온,정기/정량(주1~2회),4,2,6.0,중상,1kg백,고회전. 신선도 위해 과재고 금지
R03,오트밀크(대체유),원재료,5,냉장,정기(주2회),3,1,4.0,중,1L팩,대체유. 수요 변동 큼
R04,바닐라 시럽,원재료,30,상온,정기/정량(주1회),7,2,9.0,높임,1L병,장기보관
R05,카라멜 시럽,원재료,30,상온,정기/정량(주1회),7,2,9.0,높임,1L병,장기보관
R06,모카/초콜릿 소스,원재료,30,상온,정기/정량(주1회),7,2,9.0,높임,1병,장기보관
R07,자바칩(초콜릿칩),원재료,60,상온,정량(ROP),14,2,16.0,높임,1kg봉,초장기(60일)
R08,그린티 파우더,원재료,60,상온,정량(ROP),14,2,16.0,높임,1kg봉,초장기(60일)
R09,휘핑크림,원재료,3,냉장,정기(주2~3회),2,1,3.0,낮춤(보수),1팩,"★개봉후 급격히 단명, 폐기위험 큼"
S01,핫컵,소모품,,상온,"정량(s,Q)",14,2,16.0,-,슬리브,벌크. 보관공간 제약
S02,아이스컵,소모품,,상온,"정량(s,Q)",14,2,16.0,-,슬리브,여름 계절성↑
S03,컵 뚜껑,소모품,,상온,"정량(s,Q)",14,2,16.0,-,박스,벌크
D01,카페 라테,판매음료,-,-,제조품(발주 대상 아님),-,-,,-,-,원재료(R)에서 제조 → 레시피 전개로만 반영
D02,아메리카노,판매음료,-,-,제조품(발주 대상 아님),-,-,,-,-,원재료(R)에서 제조 → 레시피 전개로만 반영
D03,카푸치노,판매음료,-,-,제조품(발주 대상 아님),-,-,,-,-,원재료(R)에서 제조 → 레시피 전개로만 반영
D04,카페 모카,판매음료,-,-,제조품(발주 대상 아님),-,-,,-,-,원재료(R)에서 제조 → 레시피 전개로만 반영
D05,바닐라 라테,판매음료,-,-,제조품(발주 대상 아님),-,-,,-,-,원재료(R)에서 제조 → 레시피 전개로만 반영
D06,그린 티 라테,판매음료,-,-,제조품(발주 대상 아님),-,-,,-,-,원재료(R)에서 제조 → 레시피 전개로만 반영
D07,자바칩 프라푸치노,판매음료,-,-,제조품(발주 대상 아님),-,-,,-,-,원재료(R)에서 제조 → 레시피 전개로만 반영
"※ 발주주기 T 설계원칙: ① T < 유통기한×(1−여유)  ② 물류 가능일에 정렬(푸드 일배송, 그로서리 주N회)  ③ 폐기비용 큰 품목일수록 T↓·z↓",,,,,,,,,,,
※ 예측 horizon = T + LT (발주주기+리드타임). 안전재고 SS = z × σ × √(T+LT). 발주량 = 예측수요(T+LT) + SS − 현재고.,,,,,,,,,,,
※ 신선 푸드(노랑)는 매일 리뷰·보수적 발주가 핵심 — Zero-Waste Copilot의 주 감축 레버.,,,,,,,,,,,
※ 장기보관(시럽·파우더·소모품)은 정량발주(ROP)로 묶음발주 → 배송횟수↓ → 상류운송 탄소(Scope3 Cat.4) 동시 절감.,,,,,,,,,,,
